##Name	Total_Item	Num_item	Num_list	Num_list_item	Ori_p	Adj_p	Enrich_score	Gene_list
204750|2-aminoadipic 2-oxoadipic aciduria, 204750 (3)	10828	4	47	4	2.953294e-08	7.931071e-05	230.382978723404	KIAA1630,DHTKD1,CMT2Q,AMOXAD
615025|?Charcot-Marie-Tooth disease, axonal, type 2Q, 615025 (3)	10828	4	47	4	2.953294e-08	7.931071e-05	230.382978723404	KIAA1630,DHTKD1,CMT2Q,AMOXAD
612921|3-M syndrome 2, 612921 (3)	10828	3	47	3	1.808516e-06	1.387649e-03	230.382978723404	3M2,KIAA0657,OBSL1
202110|17,20-lyase deficiency, isolated, 202110 (3)	10828	3	47	3	1.808516e-06	1.387649e-03	230.382978723404	CYP17,P450C17,CYP17A1
231530|3-hydroxyacyl-CoA dehydrogenase deficiency, 231530 (3)	10828	3	47	3	1.808516e-06	1.387649e-03	230.382978723404	HHF4,HADHSC,SCHAD
609975|Hyperinsulinemic hypoglycemia, familial, 4, 609975 (3)	10828	3	47	3	1.808516e-06	1.387649e-03	230.382978723404	HHF4,HADHSC,SCHAD
202110|17-alpha-hydroxylase/17,20-lyase deficiency, 202110 (3)	10828	3	47	3	1.808516e-06	1.387649e-03	230.382978723404	CYP17,P450C17,CYP17A1
614205|3-M syndrome 3, 614205 (3)	10828	2	47	2	1.185619e-04	5.306633e-02	230.382978723404	CCDC8,3M3
273750|3-M syndrome 1, 273750 (3)	10828	2	47	2	1.185619e-04	5.306633e-02	230.382978723404	CUL7,3M1
210210|3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210 (3)	10828	2	47	2	1.185619e-04	5.306633e-02	230.382978723404	MCCC2,MCCB
210200|3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3)	10828	2	47	2	1.185619e-04	5.306633e-02	230.382978723404	MCCA,MCCC1
610006|2-methylbutyrylglycinuria, 610006 (3)	10828	2	47	2	1.185619e-04	5.306633e-02	230.382978723404	ACADSB,SBCAD
